"ATM_ID,""ATM_NUMBER"",""DATE"",""ATM_WITHDRWLS"",""ATM_WITHDRWLS_SCALED"",""DAY_OF_WEEK"",""DAY_IN_MONTH"",""MONTH"",""YEAR"",""ATM_WITHDRWLS_1WEEKAGO"",""ATM_WITHDRWLS_2WEEKAGO"",""AVG_ATM_WITHDRW_PREVMONTH"",""FIRSTWORKDAY"",""LASTWORKDAY"",""IsSaturday"",""IsSunday"",""HOLIDAY"""
"Z0241002,""1"",""03/02/2008"",""73950"",""0.22"",""1"",""3"",""2"",""2008"",""44430"",""113390"",""129222.903"",""1"",""0"",""0"",""0"",""1"""
"Z0951001,""2"",""03/02/2008"",""31900"",""0.09"",""1"",""3"",""2"",""2008"",""0"",""49750"",""75030"",""1"",""0"",""0"",""0"",""1"""
"Z1031001,""3"",""03/02/2008"",""11620"",""0.03"",""1"",""3"",""2"",""2008"",""18970"",""26545"",""35274.516"",""1"",""0"",""0"",""0"",""1"""
"Z1119001,""4"",""03/02/2008"",""0"",""0"",""1"",""3"",""2"",""2008"",""54425"",""84985"",""73075"",""1"",""0"",""0"",""0"",""1"""
"Z1899001,""5"",""03/02/2008"",""200"",""0"",""1"",""3"",""2"",""2008"",""23785"",""38120"",""55333.548"",""1"",""0"",""0"",""0"",""1"""
"Z0241002,""1"",""02/02/2008"",""222520"",""0.65"",""7"",""2"",""2"",""2008"",""150150"",""165030"",""127306.774"",""0"",""1"",""0"",""1"",""1"""
"Z0951001,""2"",""02/02/2008"",""92520"",""0.27"",""7"",""2"",""2"",""2008"",""106560"",""82925"",""74373.226"",""0"",""1"",""0"",""1"",""1"""
"Z1031001,""3"",""02/02/2008"",""18590"",""0.05"",""7"",""2"",""2"",""2008"",""37750"",""42180"",""35260"",""0"",""1"",""0"",""1"",""1"""
"Z1119001,""4"",""02/02/2008"",""74185"",""0.22"",""7"",""2"",""2"",""2008"",""164325"",""192440"",""72223.065"",""0"",""1"",""0"",""1"",""1"""
"Z1899001,""5"",""02/02/2008"",""34030"",""0.1"",""7"",""2"",""2"",""2008"",""50305"",""48600"",""54620.484"",""0"",""1"",""0"",""1"",""1"""
"Z0241002,""1"",""01/02/2008"",""121710"",""0.36"",""6"",""1"",""2"",""2008"",""262860"",""179810"",""124482.742"",""0"",""0"",""1"",""0"",""1"""
"Z0951001,""2"",""01/02/2008"",""79980"",""0.23"",""6"",""1"",""2"",""2008"",""164120"",""134420"",""73047.097"",""0"",""0"",""1"",""0"",""1"""
"Z1031001,""3"",""01/02/2008"",""17160"",""0.05"",""6"",""1"",""2"",""2008"",""116110"",""65385"",""35074.839"",""0"",""0"",""1"",""0"",""1"""
"Z1119001,""4"",""01/02/2008"",""70565"",""0.21"",""6"",""1"",""2"",""2008"",""263265"",""221550"",""71925.968"",""0"",""0"",""1"",""0"",""1"""
"Z1899001,""5"",""01/02/2008"",""53650"",""0.16"",""6"",""1"",""2"",""2008"",""164130"",""81685"",""53845.806"",""0"",""0"",""1"",""0"",""1"""
"Z0241002,""1"",""31/01/2008"",""67040"",""0.2"",""5"",""31"",""1"",""2008"",""185160"",""228860"",""119368.548"",""0"",""0"",""0"",""0"",""1"""
"Z0951001,""2"",""31/01/2008"",""45440"",""0.13"",""5"",""31"",""1"",""2008"",""117260"",""116090"",""69907.903"",""0"",""0"",""0"",""0"",""1"""
"Z1031001,""3"",""31/01/2008"",""8970"",""0.03"",""5"",""31"",""1"",""2008"",""65130"",""48180"",""34792.258"",""0"",""0"",""0"",""0"",""1"""
"Z1119001,""4"",""31/01/2008"",""39650"",""0.12"",""5"",""31"",""1"",""2008"",""193320"",""201855"",""69865.323"",""0"",""0"",""0"",""0"",""1"""
"Z1899001,""5"",""31/01/2008"",""12565"",""0.04"",""5"",""31"",""1"",""2008"",""79960"",""52275"",""50457.742"",""0"",""0"",""0"",""0"",""1"""
"Z0241002,""1"",""30/01/2008"",""77160"",""0.23"",""4"",""30"",""1"",""2008"",""165880"",""69450"",""123764.516"",""0"",""0"",""0"",""0"",""1"""
"Z0951001,""2"",""30/01/2008"",""53130"",""0.16"",""4"",""30"",""1"",""2008"",""136060"",""49870"",""71862.097"",""0"",""0"",""0"",""0"",""1"""
